id	Luminal	Basal	Basal A	Basal	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal A	Basal A	Basal B	Basal	Basal	Basal B	Basal B	Basal	Basal B	Basal A	Basal	Basal	Basal A	Basal	Luminal	Basal A
MT-ATP8	10.0964	9.83451	9.77451	8.87982	8.86712	9.75385	9.90836	9.63593	9.66482	9.42593	9.27395	9.7463	9.76705	9.3574	9.96102	9.04909	10.0496	8.98781	9.86158	9.61551	9.84451	9.57539	9.91797	9.66482	9.31396	8.85771	8.84923	9.23862	10.2055	9.98067	10.0787
HNRNPA1	9.94336	9.70432	9.33595	9.90836	10.3759	9.89942	9.91797	9.44353	9.87999	10.4641	9.93477	9.87999	9.91797	9.39	9.7463	9.54362	9.27022	9.39	10.2762	10.0428	10.0723	9.95081	9.85227	9.41435	9.73886	9.85227	9.48367	10.1801	9.73886	9.94336	10.106
TMBIM6	9.85227	9.75385	9.51224	9.97141	9.13694	9.27707	9.72471	8.70434	9.76705	9.45204	9.2641	9.02336	9.05987	9.35459	9.30438	9.03473	9.77451	9.10088	9.82724	9.70432	8.50509	9.96102	9.88806	9.63593	9.15816	10.0172	9.3574	9.29048	9.30145	10.3636	8.6521
HSPD1	9.98067	9.72471	9.82724	9.76011	10.0967	9.78159	9.60417	10.2598	9.2293	10.2086	9.71112	9.97141	9.71873	10.1693	9.80225	10.523	9.03765	9.0797	10.2303	9.97141	9.28765	10.2734	9.83451	9.21615	9.64221	9.67207	9.61551	10.3867	9.80225	9.41855	9.54809
RPL10	10.9597	9.57539	9.31789	8.95902	9.95081	10.4432	9.67207	10.1491	9.99197	9.13191	9.65264	10.1763	10.2877	8.3401	9.95081	9.26739	9.34264	9.42593	9.67207	9.54362	10.1827	9.2134	9.62265	9.17753	10.138	9.04909	9.42209	10.4192	9.39	10.0901	10.4283
AHNAK	9.01524	8.58546	9.07773	8.91193	9.26739	9.16082	10.294	9.73239	9.73239	10.2456	9.46043	8.83674	9.19968	9.45204	9.28765	9.3864	9.52724	10.1574	9.25798	9.2293	9.37715	9.41855	8.56654	9.46043	9.44353	8.90626	9.45652	9.81891	9.98067	10.0351	9.56977
EIF4G1	10.0422	10.4219	9.97141	9.7463	9.64732	9.72471	10.2086	9.05987	9.7463	10.0102	9.43888	9.56977	9.69036	9.83451	9.0735	10.1662	10.0065	9.78159	9.76011	9.71873	9.34264	10.289	10.5705	9.87999	9.01315	9.78159	9.43888	10.2502	9.67207	9.61551	9.21923
HSPA5	10.1264	9.28066	9.10088	9.46043	9.45652	9.82724	9.86158	10.1211	9.5862	10.1995	9.0983	9.15495	10.0608	9.71112	10.5415	10.8038	9.45204	9.71873	10.0711	9.87999	10.2	10.0055	9.31396	9.65863	9.62938	9.40207	10.0001	10.3842	9.30438	9.36525	9.28765
UBC	9.86995	9.2546	9.42209	9.82724	9.27707	9.59168	9.67784	9.84451	9.53257	9.27022	8.97386	9.43506	8.87982	9.40207	9.30145	9.83451	9.52229	9.41435	9.78159	9.65863	9.51735	10.2555	9.30145	9.32896	9.3574	9.79557	9.85227	10.0433	9.85227	9.52724	9.34264
CFL1	9.78159	9.80977	9.4883	9.36525	10.2938	9.71112	10.3722	9.6973	10.1107	9.81891	9.25798	10.092	10.1037	9.46519	9.39396	9.92646	9.80977	10.1201	9.27022	9.2546	9.2134	9.91797	10.0071	9.90836	9.89942	9.41855	9.06404	9.30741	9.63593	8.95757	9.62265
MT-RNR1	9.77451	10.1523	9.45204	8.07536	8.71225	9.83451	8.7031	9.83451	10.3998	8.92916	8.78428	8.68403	9.95081	10.1103	10.0001	9.21058	10.092	8.44438	9.93477	9.79557	8.49961	10.123	10.1785	10.1368	9.47499	8.50745	9.37715	9.09548	10.3994	9.99197	9.6973
