id	Non-malignant	Non-malignant	Non-malignant	Non-malignant	Non-malignant	Claudin-low	Claudin-low	Claudin-low	Claudin-low	Claudin-low	Claudin-low
ENSG00000120899.16	19.34	32.68	65.77	57.37	12.94	1.44	3.28	2.09	1.88	5.79	0.44
ENSG00000250510.6	0	0	0	0	0.41	6.84	1.36	4.58	2.57	6.62	3.01
ENSG00000142530.9	1.59	1.61	1.23	2.4	1.53	0.4	0.26	0.23	0	0.96	0
ENSG00000029534.18	0.34	0.15	0.78	0.53	1.22	9.13	4.39	3.43	5.14	9.72	2.25
ENSG00000170561.11	30.74	41.05	31.44	8.68	27.44	0.02	5.16	4.73	0.07	0.04	0
ENSG00000134757.4	25.71	241.02	35.57	34.01	43.76	0.07	0.21	1.54	0.16	0.06	0.02
ENSG00000173267.12	131.92	143.25	64.17	42.35	62.15	0.1	0.25	0.08	0.86	0	23.03
ENSG00000101670.10	63.78	8.87	23.2	19.6	23.45	0.29	0.36	2.69	2.26	0.06	4.6
ENSG00000261183.4	13.72	36.01	8.58	24.88	8.83	0	0.29	0.54	0	0.39	0
ENSG00000274383.1	0.32	0.38	0.48	0.7	1.32	5.08	1.69	4.6	2.05	4.39	4.55
ENSG00000109906.12	8.19	11.63	20.58	10.61	4.89	0.02	0.21	0.01	0.05	0	0
ENSG00000197375.11	18.2	29.27	21.88	26.77	18.88	8.37	3.87	2.97	5.71	6.36	11.53
ENSG00000119888.9	5.48	15	9.07	26.73	9.84	0	0.05	2.05	0.31	0.73	3.25
ENSG00000166441.11	1527.99	2162.36	2545.85	2034.35	2065.31	794.23	836.8	578.68	992.07	872.99	1409.43
ENSG00000164292.11	2.69	1.56	6.52	3.64	7.83	21.68	20.99	36.86	21.83	28.15	49.4
ENSG00000179913.9	39.79	5.18	15.24	32.89	15.8	0.08	0.06	0	0.21	0	2.08
ENSG00000091409.13	90.24	96.71	146.13	104.34	127.05	19.61	33.56	4.55	6.6	11.59	16.24
ENSG00000040275.15	26.97	8.74	16.02	18.57	18.86	51.93	47.83	95.47	49.16	86.42	74.08
ENSG00000182541.16	72.64	137.23	66.82	30.62	75.87	6.75	9.21	10.45	18.92	2.94	17.4
ENSG00000115194.9	0.21	0	0	0	0	0.74	0.59	0.38	1.01	0.79	0.34
ENSG00000170390.13	0.03	0.23	0.27	0.39	0	6.39	7.42	3.49	3.41	14.43	2.71
ENSG00000168528.10	721.74	260.65	269.92	201.73	149.19	0.29	0.76	0.53	34.12	3.82	17.14
ENSG00000100154.13	1.72	0.3	0	0.04	0.05	3.42	4.98	2.82	9.07	3.24	4.67
ENSG00000164855.14	17.3	48.87	8.61	11.91	9.74	0	0.12	0.95	0.15	1.99	3.01
ENSG00000253368.3	27.67	57.95	26.25	15.13	18.4	3.54	0.33	2.57	7.9	0.06	1.78
ENSG00000230937.8	199.01	674.45	373.33	38.1	344.67	0	0.17	0.14	0	0.13	0
ENSG00000204536.12	7.85	8.48	10.04	11.02	15.1	22.01	29.85	31.23	35.52	77.83	31.96
ENSG00000096070.18	3.59	5.4	5.21	7.43	6.08	15.05	11.46	12.8	13	30.54	20.37
ENSG00000164663.12	0.81	1.44	0.52	0.54	0.3	3.27	4.24	2.49	2.94	2.88	1.52
ENSG00000117472.8	70.43	151.2	20.79	55.06	18.28	1.1	0.95	0.87	0.79	8.02	2.21
ENSG00000240616.1	4.68	4.75	4.53	4.32	5.09	2.47	0.81	1.36	0.93	0.37	0.95
ENSG00000144749.12	1.48	1.11	2.9	3.48	2.71	7.92	8.85	5.73	16.75	7.58	7.36
ENSG00000180921.6	70.46	80.3	93.98	75.07	163.19	2.9	6.23	3.64	0.34	24.09	1.22
ENSG00000163071.9	9.98	9.86	6.66	6.53	2.5	0	0.02	0	0	0.4	0
ENSG00000152291.12	20.67	15.15	19.54	31.91	30.88	42.11	91.06	49.48	65.5	77.33	69.67
ENSG00000182253.13	0.12	0.1	0.04	0.15	0.22	5.97	15.54	15.17	3.36	11.66	3.43
ENSG00000173705.7	4.04	0.39	0.57	1.1	0.38	22.64	15.92	16.52	3.38	8.86	19.91
ENSG00000141505.10	0.37	0	0	0.13	0	1.23	1	0.68	0.34	0.86	0.99
ENSG00000134955.10	167.13	17.82	25.64	30.79	63.78	0.57	0.93	0.18	9.99	1.19	2.43
ENSG00000161249.19	278.74	337.77	209.72	128.35	335.3	0	9.2	6.87	1.17	1.02	35.65
